cluster,count
0,36
1,70
2,65
3,53
4,9
5,119
6,61
7,86
8,39
9,85
10,82
11,58
12,4
13,70
14,10
15,50
16,62
17,81
18,35
19,46
20,56
21,53
22,4
23,63
24,77
25,55
26,96
27,60
28,55
29,49
30,71
31,48
32,48
33,18
34,59
35,51
36,73
37,87
38,31
39,38
40,57
41,68
42,40
43,34
44,46
45,8
46,83
47,50
48,124
49,73
50,54
51,17
52,27
53,79
54,109
55,53
56,22
57,8
58,70
59,8
60,69
61,53
62,21
63,97
64,29
65,55
66,53
67,86
68,116
69,62
70,53
71,32
72,46
73,11
74,50
75,72
76,94
77,11
78,56
79,88
80,52
81,51
82,70
83,57
84,59
85,78
86,2
87,32
88,47
89,1
90,104
91,95
92,81
93,30
94,71
95,72
96,93
97,72
98,5
99,45
100,3
101,61
102,41
103,15
104,1
105,54
106,9
107,49
108,58
109,33
110,25
111,54
112,76
113,66
114,95
115,9
116,27
117,97
118,106
119,61
120,21
121,99
122,82
123,56
124,94
125,66
126,26
127,84
128,95
129,29
130,37
131,37
132,60
133,94
134,77
135,59
136,97
137,90
138,81
139,13
140,66
141,72
142,96
143,14
144,55
145,94
146,98
147,57
148,79
149,18
150,20
151,14
152,45
153,24
154,40
155,11
156,70
157,28
158,77
159,75
160,48
161,47
162,62
163,99
164,38
165,88
166,7
167,65
168,66
169,65
170,57
171,106
172,51
173,69
174,23
175,71
176,67
177,5
178,45
179,3
180,90
181,46
182,82
183,48
184,68
185,110
186,84
187,69
188,53
189,114
190,5
191,21
192,62
193,93
194,20
195,96
196,34
197,11
198,9
199,76
200,38
201,49
202,107
203,68
204,100
205,50
206,91
207,67
208,28
209,42
210,65
211,8
212,49
213,81
214,85
215,63
216,100
217,5
218,59
219,48
220,15
221,74
222,23
223,97
224,103
225,15
226,18
227,5
228,83
229,26
230,23
231,33
232,52
233,94
234,35
235,55
236,44
237,39
238,60
239,64
240,40
241,4
242,51
243,57
244,53
245,62
246,87
247,91
248,69
249,55
250,47
251,79
252,36
253,10
254,94
255,33
256,109
257,56
258,106
259,53
260,100
261,91
262,39
263,69
264,83
265,32
266,96
267,71
268,7
269,131
270,106
271,12
272,39
273,52
274,99
275,57
276,87
277,75
278,61
279,102
280,49
281,1
282,24
283,27
284,97
285,37
286,26
287,59
288,73
289,28
290,18
291,63
292,69
293,63
294,83
295,25
296,43
297,105
298,31
299,39
300,14
301,69
302,79
303,6
304,66
305,32
306,40
307,1
308,63
309,64
310,74
311,3
312,23
313,33
314,76
315,27
316,8
317,72
318,37
319,63
320,18
321,76
322,3
323,11
324,54
325,34
326,2
327,94
328,77
329,24
330,54
331,41
332,74
333,42
334,63
335,19
336,123
337,65
338,36
339,27
340,20
341,3
342,16
343,63
344,82
345,62
346,44
347,12
348,28
349,81
350,44
351,31
352,31
353,21
354,28
355,52
356,5
357,45
358,58
359,70
360,49
361,41
362,1
363,34
364,45
365,48
366,2
367,8
368,45
369,85
370,21
371,11
372,11
373,40
374,41
375,65
376,71
377,61
378,105
379,76
380,59
381,61
382,92
383,19
384,119
385,30
386,17
387,87
388,33
389,81
390,95
391,6
392,112
393,62
394,76
395,27
396,5
397,15
398,42
399,116
400,69
401,66
402,33
403,55
404,15
405,6
406,6
407,34
408,83
409,39
410,49
411,29
412,95
413,51
414,86
415,41
416,75
417,19
418,71
419,63
420,4
421,75
422,62
423,28
424,24
425,65
426,1
427,14
428,3
429,62
430,74
431,12
432,21
433,24
434,88
435,99
436,54
437,2
438,105
439,65
440,5
441,71
442,45
443,75
444,65
445,70
446,41
447,76
448,23
449,6
450,29
451,100
452,13
453,71
454,91
455,32
456,16
457,57
458,15
459,86
460,68
461,59
462,49
463,18
464,26
465,42
466,57
467,138
468,80
469,50
470,52
471,27
472,77
473,37
474,46
475,54
476,79
477,37
478,1
479,82
480,77
481,7
482,29
483,26
484,100
485,99
486,74
487,32
488,14
489,23
490,76
491,94
492,2
493,87
494,40
495,106
496,63
497,26
498,13
499,46
